No	Chapter	Point	Question_JP	Question_EN	Answer	Choices1	Choices2	Choices3	Choices4	Type	Source
256	11	71	乗客が続々とやって来た。	Passengers came in one after ( ).	another	1.another	2.one	3.others	4.two	4択	<姫路獨協大>
257	11	71	もしそれを買いたいのなら、あと10ドル支払う必要があります。	If you want to get it, you'll have to pay ( ) ten dollars.	another	1.another	2.other	3.others	4.the another	4択	<国士舘大>
258	11	71	彼には人の気持ちがわからない。	He doesn't understand the feelings of ( ).	others	1.other	2.others	3.peoples	4.another	4択	<流通科学大>
259	11	72	彼は私が尋ねるほとんどの質問に答えることができるほど頭がいい。	He is smart enough to be able to answer ( ) questions I ask him.	most of the	1.almost	2.almost of	3.all most	4.most of the	4択	<東京経大>
260	11	72	今日は、ほとんどすべての座席が予約済みです。	( ) the seats are reserved today.	Almost all of	1.Almost all of	2.Almost of	3.Almost	4.The most of	4択	<同志社大>
261	11	72	ほとんどすべての日本人は、お米を食べるのが好きです。	( ) Japanese like to eat rice.	Most	1.Almost all	2.Most of	3.Almost	4.Almost of	4択	<拓殖大>
262	11	73	「図書館は、土曜日は開館していますか」「開館していると思います」	Will the library be open on Saturday? "( )"	I suppose so.	1.To get some books.	2.I love to read.	3.I suppose so.	4.Not many people.	4択	<九州国際大>
263	11	73	そうしたのはあまり賢いことではなかったね。 たぶんね。	That wasn't a very wise thing to do, was it? I ( ).	suppose not	1.don't suppose	2.don't suppose it	3.suppose it not	4.suppose not	4択	<青山学院大>
264	11	74	警察官はその犯罪について彼に尋ねたが、彼の母親は、彼はそれには何も関係していないと言った。	The policeman asked him about the crime but his mother said he had ( ) to do with it.	nothing	1.nobody	2.anything	3.anybody	4.nothing	4択	<中央大>
265	11	74	私は、その本を無料で手に入れました。	I got the book for nothing.	free of charge	1.free of charge	2.for a charge	3.at a charge	4.with a charge	4択	<関西外大>
267	11	75	パーティーはすばらしかった。 私たちは大いに楽しんだ。	The party was great. We enjoyed ( ) very much.	ourselves	1.us	2.with us	3.ourselves	4.by ourselves	4択	<九州産大>
268	11	75	テーブルの上のケーキを自由に取って食べてください。	Please help ( ) to some of the cakes on the table.	yourself	1.myself	2.itself	3.yourself	4.ourselves	4択	<札幌学院大>
269	11	75	私たちの家で1か月間、過ごすことになるのだから、くつろいでください。	You'll be staying with us for a month, so just ( ) at home.	make yourself	1.you're supposed	2.you're leaving	3.make yourself	4.get used to	4択	<福井工大>
270	11	75	兄 [弟] が研究のために外国に行って以来、私はひとりで暮らしている。	I've been living ( ) myself since my brother went abroad to do research.	by	1.from	2.at	3.into	4.by	4択	<早稲田大>
271	11	75	ここだけの話だが、 実のところ、 今夜はむしろ家にいたいのだ。	( ) ourselves, I'd actually rather stay home tonight.	Between	1.As	2.With	3.From	4.Between	4択	<明治大>
272	11	75	彼は怒りでわれを忘れた。	He was beside himself with rage.	very angry	1.a bit angry	2.a bit relieved	3.very relieved	4.very angry	4択	<立命館大>
274	12	76	先生はスペリングで間違いをおかした数人の学生に、授業の後、残るように伝えた。	The teacher told some students ( ) made mistakes in their spelling to remain after class.	who	1.which	2.who	3.whom	4.whose	4択	<京都光華女子大>
275	12	76	彼女は、よく理解することが難しい少女だ。	She is a girl ( ) it is difficult to get to know well.	whom	1.as	2.whose	3.what	4.whom	4択	<千葉工大>
276	12	76	私たちは、19世紀の産業革命に匹敵するであろう、また別の大変革に近づきつつある。	We are approaching another revolution ( ) will rival the Industrial Revolution of the 19th century.	which	1.which	2.what	3.who	4.it	4択	<中央大>
278	12	76	仕事が患者を手術することである医者は、外科医と呼ばれる。	A doctor ( ) job is operating on patients is called a surgeon.	whose	1.who	2.whose	3.whom	4.that	4択	<佛教大>
279	12	76	「そのてっぺんが天までとどく塔を建てよう」 と彼らは言った。	They said, "Let's build a tower ( ) top will reach up to heaven."	whose	1.which	2.whose	3.whom	4.that	4択	<京都学園大>
281	12	77	彼女には自慢の賢い息子がいる。	She has a clever son ( ).	(不適切) of that she is proud	1.of whom she is proud	2.she is proud of	3.of that she is proud	4.that she is proud of	4択不適	<東京国際大>
283	12	77	これらは、彼が自分自身の家を建てるのに使った道具である。	These are the tools ( ) he built his own house.	with which	1.which	2.that	3.with which	4.with that	4択	<青山学院大>
284	12	78	ここはかつてモーツァルトが夕食後に散歩をしていた公園です。	This is the park ( ) Mozart used to take a walk after dinner.	where	1.that	2.where	3.which	4.why	4択	<京都産大>
285	12	78	昨年の夏にあなたが登った山は、日本で2番目に高い山です。	The mountain ( ) you climbed last summer is the second highest mountain in Japan.	which	1.what	2.whom	3.which	4.where	4択	<亜細亜大>
286	12	78	むごい戦争が終結するときが間もなくやってくるだろう。	The time will soon come ( ) the cruel war will end.	when	1.when	2.what	3.why	4.how	4択	<名古屋学院大>
287	12	78	彼女の要求に同意すべきではない理由がいくつかある。	There are several reasons ( ) we should not agree to her request.	why	1.how	2.where	3.which	4.why	4択	<京都学園大>
292	12	79	私は、日本で2番目に大きな都市である横浜の郊外に住んでいる。	I live in the suburbs of Yokohama, ( ) is Japan's second largest city.	which	1.where	2.that	3.what	4.which	4択	<名城大>
293	12	79	その新聞社で働いた結果として、 私は未来の夫に出会ったが、彼もやはりそこで働いていたのだった。	As a result of working at the newspaper, I met my future husband, ( ) was also working there.	who	1.when	2.which	3.that	4.who	4択	<四天王寺大>
294	12	79	この前の冬、私は香港に出かけたが、そこは私が思っていたほど暖かくはなかった。	Last winter I went to Hong Kong, ( ) as warm as I had expected.	where it wasn't	1.when wasn't	2.where it wasn't	3.where wasn't	4.which it wasn't	4択	<センター試験>
295	12	79	彼女には3人の息子がいたが、全員が医者になった。	She had three sons, all ( ) became doctors.	of whom	1.of whom	2.which	3.who	4.of which	4択	<東海大>
296	12	79	彼は私に本を2冊貸してくれたが、私はそのどちらも読んでいない。	He lent me two books, neither of ( ) I have read.	which	1.that	2.which	3.what	4.them	4択	<和洋女子大>
297	12	80	交通渋滞に巻き込まれてしまい、それで私たちは会議に40分遅れてしまった。	We got stuck in a traffic jam, ( ) made us forty minutes late for the meeting.	which	1.which	2.that	3.it	4.as	4択	<東邦大>
298	12	80	私はその問題を解こうとしたが、それは時間のむだだとわかった。	I tried to solve the problem, ( ) I found a waste of time.	which	1.what	2.which	3.that	4.when	4択	<和洋女子大>
299	12	80	風呂に入るように言われ、私はその勧めに従った。	I was told to take a bath, ( ) advice I followed.	which	1.which	2.whose	3.its	4.what	4択	<実践女子大>
300	12	81	最初は易しいと思えることが、後になって難しいとわかることがしばしばある。	( ) seems easy at first often turns out to be difficult.	What	1.It	2.That	3.What	4.Which	4択	<國學院大>
301	12	81	彼は、稼いだ分を自分の息子のために使う。	He spends ( ) he earns on his son.	what	1.as	2.but	3.that	4.what	4択	<中部大>
303	12	81	メアリーは、少ないながら持っていたすべてのお金をなくした。	Mary lost ( ) little money she had.	what	1.which	2.whose	3.how	4.what	4択	<東京家政大>
304	12	82	現在のジャックがあるのは、妻の援助のおかげである。	Jack owes ( ) he is to the support of his wife.	what	1.as	2.that	3.what	4.which	4択	<京都産大>
308	12	82	あたりはだんだん暗くなり、さらに悪いことに、私たちはホテルを見つけることができなかった。	It was getting dark, and ( ) was worse, we couldn't find our hotel.	what	1.which	2.that	3.what	4.but	4択	<立命館大>
309	12	82	あなたはそれを覚えておくべきだし、さらには、それをきちんと理解すべきです。	You should remember it, and ( ), you should get it right.	what's more	1.nevertheless	2.what's more	3.however	4.on time	4択	<大妻女子大>
310	12	83	その地位は、彼女が申し分なく有能だと考えていた男性によって占められた。	The position was filled by a man ( ) she thought was thoroughly competent.	whom	1.of which	2.who	3.whose	4.whom	4択	<東北学院大>
311	12	83	あなたは、正しいと思うことをしていますか。	Are you doing what ( )?	you think is right	1.you think you are right	2.you think it is right	3.you think is right	4.it is you think right	4択	<日本工大>
315	13	84	(a) は誰にでも、弱点がある。 (b) 弱点のない人はいない。	(b) There is no one ( ) has weaknesses.	but	1.but	2.who	3.that	4.than	4択書換	<関西学院大>
317	13	85	デレクは、外国語を習得するのに理想的な環境を見つけた。	Derek found an ideal environment ( ).	in which to learn foreign languages	1.in which foreign languages to be learned	2.in which to learn foreign languages	3.learning foreign languages in	4.which to learn foreign languages in	4択	<慶應義塾大>
321	13	86	キノシタさんが親切にしているのは、彼女の友人たちだけではありません。 彼女は、助けを必要としている人は誰でも助けます。	She helps ( ) needs her help.	whoever	1.those	2.whatever	3.whoever	4.whom	4択	<センター試験>
322	13	86	どちらの政党が政権に就こうとも、イギリスの外交政策は同じままですか。	Does British foreign policy remain the same, ( ) party is in power?	whichever	1.whoever	2.however	3.whichever	4.wherever	4択	<立命館大>
323	13	87	私は君がどこに行こうともついていくつもりだ。	I will go with you ( ) you go.	wherever	1.whatever	2.wherever	3.whichever	4.whoever	4択	(記載なし)
325	13	87	どんなに忙しくても、必ず少なくとも6時間は睡眠をとりなさい。	( ) busy you are, never fail to sleep at least six hours.	However	1.However	2.Whoever	3.Whatever	4.Whenever	4択	<関東学院大>
326	13	87	どんなに難しくても、新しいコンピュータの操作に習熟しなければならない。	( ) difficult it may be, you have to master the operation of the new computer.	No matter how	1.No matter however	2.No matter how	3.No how	4.No matter	4択	<専修大>
327	14	88	ジムの日本語はあまり上手ではなかったが、それでも彼のスピーチは聴衆に感銘を与えた。	Jim's Japanese was not very good, ( ) his speech still impressed the audience.	but	1.because	2.but	3.so	4.therefore	4択	<京都産大>
328	14	88	私はフランス語を話せませんし、読むこともできません。	I can't speak French, ( ) can I read it.	nor	1.but	2.also	3.nor	4.although	4択	<千葉工大>
329	14	88	なじみのある町ではなかったが、どうにかホテルに着いた。	I was not familiar with the town, ( ) I managed to get to the hotel.	yet	1.already	2.so	3.then	4.yet	4択	<藤女子大>
331	14	88	(a)もっと一生懸命勉強すれば、あなたは試験に合格するだろう。　(b)もっと一生懸命勉強しなさい、そうすればあなたは試験に合格するだろう。	(a) If you study harder, you will pass the examination. (b) Study harder, (and) you will pass the examination.	and	1.and	2.or	3.but	4.if	4択書換	<朝日大>
333	14	89	彼は学者ではなく、作家です。	He is not a scholar ( ) a writer.	but	1.and	2.also	3.but	4.than	4択	<岐阜聖徳学園大>
334	14	89	この本は、あの本よりもためになるだけでなくおもしろい。	This book is not only more instructive ( ) more interesting than that book.	but	1.that	2.or	3.nor	4.but	4択	<関東学院大>
335	14	89	スポーツアリーナに行くにはバスか電車のどちらでも利用できますよ。	To get to the sports arena, you can take ( ) the bus or the train.	either	1.either	2.neither	3.both	4.nor	4択	<東海大>
336	14	89	父も兄もタバコを吸いません。	( ) my father nor my brother smokes.	Neither	1.Either	2.Both	3.Neither	4.Not only	4択	(記載なし)
337	14	90	腐っていることを知るために、腐った卵を全部食べる必要があるのかい?	Do you have to eat the whole of a bad egg to know ( ) it is bad?	that	1.when	2.that	3.what	4.which	4択	<芝浦工大>
338	14	90	私はかつてカリフォルニアがメキシコ領だったという事実を信じることができなかった。	I could not believe the fact ( ) California used to belong to Mexico.	that	1.why	2.how	3.that	4.which	4択	<日本女子大>
339	14	90	私たちがクリスマスに間に合うように終わらせられるかどうか、私には疑わしい。	I doubt ( ) we'll finish in time for Christmas.	if	1.how	2.if	3.when	4.why	4択	<中部大>
340	14	90	タバコをやめるべきかどうかは、あなたが下さなければならない最大の決断です。	( ) you should stop smoking is the biggest decision you have to make.	Whether	1.If	2.Unless	3.While	4.Whether	4択	<学習院女子大>
341	14	91	優雅な文体を持っているという点で、彼は優れた作家だ。	He is a good writer ( ) he has an elegant style.	in that	1.that	2.in which	3.if that	4.in that	4択	<松山大>
342	14	92	それを終えたときには、すぐに私に知らせてください。	Let me know at once ( ) you have finished it.	when	1.when	2.until	3.for	4.so that	4択	<中京大>
343	14	92	リッチがニュージーランドから戻って以来、 私は彼に会っていない。	I haven't seen Rich ( ) he returned from New Zealand.	since	1.as	2.since	3.when	4.until	4択	<東海大>
344	14	92	この前テニスをしてから、ずいぶんと久しい。	It's been ages ( ).	since I last played tennis	1.since I last played tennis	2.that I haven't played tennis	3.after I didn't play tennis	4.that I don't play tennis	4択	<名古屋工大>
345	14	92	忘れないうちに、それを書きとめておいた方がいいよ。	You had better write it down ( ) you forget it.	before	1.after	2.before	3.whether	4.while	4択	<京都学園大>
347	14	92	私がジョンに初めて会ったとき、彼はまだ大学生でした。	( ) I met John, he was still a college student.	The first time	1.At first	2.For the first time	3.In the first	4.The first time	4択	<聖学院大>
348	14	92	この激しい吹雪が収まるまで列車の運行はないでしょう。	There won't be any train service ( ) this terrible snowstorm is over.	until	1.by the time	2.while	3.since	4.until	4択	<法政大>
349	14	92	あなたが50歳になるまでには、世界は大きく変わっているでしょう。	( ) you are fifty, the world will have greatly changed.	By the time	1.Until	2.Since	3.By the time	4.While	4択	<横浜市立大>
350	14	92	彼女はいつも嫌だと言っていたが、最後の最後に、突然私たちを連れていくことに同意した。	She said no every time, ( ) at the last moment she suddenly agreed to take us.	until	1.until	2.by	3.during	4.where	4択	<亜細亜大>
352	14	93	私はその知らせを聞くとすぐに、 その家を離れた。	I left the house ( ) I heard the news.	as soon as	1.as soon as	2.during	3.until	4.while	4択	<早稲田大>
353	14	93	建物を出たとたんに一人の警察官にいくつかの職務質問をされた。	(a) I had hardly left the building when I was asked some questions by a police officer. (b) The (moment) I left the building, I was asked some questions by a police officer.	moment	1.instance	2.moment	3.time	4.sooner	4択書換	<駒澤大>
355	14	93	その言葉を口にすると、私はすぐに後悔した。	I had no sooner uttered the words ( ) I regretted them.	than	1.that	2.than	3.if	4.as	4択	<佛教大>
356	14	93	彼が部屋に入ったとたん、 彼らは笑いをやめた。	( ) he entered the room when they stopped laughing.	Hardly had	1.Hardly had	2.Had hardly	3.On having	4.Having had	4択	<松山大>
357	14	94	私たちは他の誰からも援助を期待できないのだから、 最善を尽くすように努力しよう。	Let's try to do our best, ( ) we can expect no help from anyone else.	since	1.since	2.unless	3.that	4.what	4択	<桃山学院大>
358	14	94	ほとんどあなただとはわからなかった。 というのも、ずいぶんと変わってしまっていたから。	I hardly recognized you, ( ) you've changed so much.	for	1.because	2.for	3.even if	4.although	4択	<湘南工科大>
359	14	94	人はたくさんのことを知っているからといって偉いわけではない。	A man is not great ( ) he knows many things.	because	1.for	2.as	3.because	4.since	4択	<実践女子大>
360	14	95	適切な時期に種をまかなければ、豊かな収穫は見込めない。	( ) you sow at the right time, you cannot expect a rich harvest.	Unless	1.Whenever	2.If	3.Unless	4.Wherever	4択	<西南学院大>
361	14	95	彼が間違いを認めれば、私は彼を許しましょう。	I will forgive him ( ) he acknowledges his mistakes.	provided	1.provided	2.otherwise	3.nevertheless	4.however	4択	<青山学院大>
362	14	95	6か月以内に返すという条件で、 君にお金を貸しましょう。	I'll lend you the money ( ) condition that you return it within six months.	on	1.with	2.for	3.in	4.on	4択	<玉川大>
363	14	95	彼女はまるで女王であるかのように振る舞う。	She behaves ( ) she were a queen.	as if	1.although	2.because	3.so that	4.as if	4択	<和洋女子大>
364	14	96	彼は、かなりの間日本に住んでいるけれども、 日本語をあまりうまく話せない。	( ) he has lived in Japan for some time, he cannot speak Japanese very well.	Although	1.Although	2.Even	3.However	4.Nevertheless	4択	<駿河台大>
365	14	96	明日たとえ雨が降っても、音楽祭は予定通り行われます。	( ) it rains tomorrow, the music festival will take place as planned.	Even if	1.Although	2.Even if	3.During	4.Because	4択	<甲南大>
366	14	96	暗かったけれども、私たちはなんとか帰ることができた。	Dark ( ) it was, we found our way back.	as	1.as	2.if	3.that	4.while	4択	<中部大>
367	14	96	皆さんは好むと好まざるとにかかわらず、ご両親とそこに行かなければなりません。	You must go there with your parents, ( ) you like it or not.	whether	1.when	2.though	3.whether	4.as	4択	<名城大>
368	14	97	スープはとても熱くて舌をやけどするところだった。	The soup was ( ) hot that I almost burned my tongue.	so	1.such	2.much	3.very	4.so	4択	<芝浦工大>
369	14	97	最悪の日だったので、私たちは行かないことを決めた。	It was ( ) a terrible day that we decided not to go.	such	1.very	2.so	3.specially	4.such	4択	<拓殖大>
370	14	97	教授の自尊心は非常に強かったので、彼女はその侮辱を無視することができなかった。	( ) was the professor's pride that she could not ignore the insult.	Such	1.So	2.Such	3.Small	4.Little	4択	<摂南大>
374	14	98	雨は降らないと思うけれど、降るといけないから傘を持っていきます。	I don't think it'll rain, but I'll take an umbrella ( ) it does.	in case	1.as if	2.even though	3.in case	4.now that	4択	<関東学院大>
376	14	99	いったんゲームの基本的なルールを身につけてしまえば、あなたはきっとそのゲームを大いに楽しめるでしょう。	( ) you learn the basic rules of the game, I'm sure you'll enjoy it a lot.	Once	1.Although	2.While	3.Once	4.Therefore	4択	<東京造形大>
377	14	100	私の知る限り、すべての野生動物はいつも体をきれいにしています。	As ( ) as I know, all wild animals keep themselves clean.	far	1.far	2.long	3.possible	4.well	4択	<甲南大>
378	14	100	毎日散歩に連れていくことを条件に、 私たちは娘に犬を買ってあげることを承諾した。	We agreed to buy my daughter a dog ( ) she takes it for a walk every day.	as long as	1.while	2.otherwise	3.unless	4.as long as	4択	<成蹊大>
379	15	101	レールの工事が続いている間、列車は運行を休止している。	The train is out of service ( ) the rail construction is going on.	while	1.with	2.while	3.after	4.during	4択	<玉川大>
380	15	101	インターネットは一時的な流行であると言う人たちがいる一方で、それが人類の歴史における転換点であると信じている人たちもいる。	Some people say that the Internet is a passing fashion, ( ) others believe it is a turning point in human history.	while	1.during	2.while	3.judging from	4.considering	4択	<国立看護大学校>
381	15	101	あなたの境遇は気の毒に思いますけれども、私はあなたを助けることはできません。	( ) I sympathize with you in your situation, I can't help you.	While	1.While	2.Whether	3.Whichever	4.Since	4択	<佛教大>
