No	Chapter	Point	Question_JP	Question_EN	Answer	Choices1	Choices2	Choices3	Choices4	Type	Source
200	8	60	彼がたくさん本を持っているのに、私はびっくりした。 彼の書斎には少なくとも5、000冊の本があった。	There were ( ) five thousand books in his library.	not less than	not more than	not less than	no more than	at most	4択	<皇學館大>
203	8	61	もちろん彼はとてもすばらしい書き手ですが、学者と言うよりもジャーナリストです。	Of course he is quite a good writer, but he is a journalist ( ) than a scholar.	rather	better	either	further	rather	4択	<京都産大>
205	8	61	私は彼女と話をしたことさえないし、ましてやあなたの個人的な問題を彼女と議論したこともない。	I did not even speak to her, ( ) discuss your personal problems with her.	much less	much less	still more	much more	less than	4択	<昭和女子大>
208	8	62	ほとんどの子どもが勉強よりも遊びを好む。	Most children prefer playing ( ) studying.	to	than	to	for	in	4択	<札幌大>
209	9	63	3人の姉妹の中で、ジェーンが最も歌がうまかった。	Of the three sisters, Jane was ( ) singer.	the best	the better	a better	the best	a best	4択	<獨協大>
210	9	63	この映画は、 すべての中でずば抜けておもしろい。	This movie is ( ) far the most interesting of all.	by	too	by	much	very	4択	<東海大>
211	9	63	スーザンは、クラスの中でずば抜けてすぐれた学生です。	Susan is ( ) student in her class.	much the best	much best	much the best	the much best	very the best	4択	<学習院女子大>
212	9	63	これは、私がこれまで見てきた中で最も美しい景色である。	This is ( ) beautiful scene I've ever seen.	the most	much more	much less	prettier than	the most	4択	<岩手医科大>
214	9	63	ロサンゼルスは合衆国で2番目に大きな都市だ。	Los Angeles is ( ) city in the United States.	the second largest	the second largest	the largest next	the second larger	the next larger	4択	<専修大>
215	9	63	ロールス・ロイスは、世界で最も高価な車の一つです。	A Rolls-Royce is one ( ) in the world.	of the most expensive cars	of the most expensive car	of the most expensive cars	of more expensive car	of more expensive cars	4択	<拓殖大>
216	9	63	もうすぐ2時なので、私たちにはせいぜい10分しか残されていない。	It's almost two o'clock so we have only ten more minutes ( ).	at most	at first	at last	at least	at most	4択	<センター試験>
217	9	64	トムはクラスのほかのどの生徒よりも背が高い。	Tom is taller than ( ) in the class.	any other student	any other student	other any student	the other students	any other students	4択	<近畿大>
220	9	64	友情は子どもにとって最も大切である。	( ) is as important to a child as friendship.	Nothing	Anybody	Anytime	Nothing	Somebody	4択書換	<近畿大>
221	9	65	「クマを見たことがある?」「ええ、3年前に上野動物園で見たわ」	Have you ever seen a bear? "Yes, I saw ( ) in Ueno Zoo three years ago."	one	it	that	one	him	4択	<東洋大>
222	9	65	もしジェーンがそのお金を必要としているのなら、それを貸しましょう。	I will lend Jane the money if she needs ( ).	it	one	it	the one	so	4択	<関西外大>
223	9	65	「どんな腕時計を買ったらいいでしょうか」「日本製を買いなさい」	What kind of watch shall I buy? "Get ( )."	a Japanese one	one Swiss	French one	a Japanese one	American watch	4択	<東海大>
224	9	65	「この新しい辞書で単語を調べるのは大変だよ」「それなら、前に使っていたものを使ったらどう?」	It's hard to look up words in this new dictionary. "Then why don't you use ( ) you were using before?"	the one	a one	it	one another	the one	4択	<共立女子大>
225	9	65	ヨシコは白ワインより赤ワインが好きだ。	Yoshiko likes red wine better than ( ).	white	a white one	white one	white	the white one	4択	<園田学園女子大>
226	9	65	これらのシャツは高すぎます。 もっと安いものを見せてもらえますか。	These shirts are too expensive. May I see some cheaper ( )?	ones	ones	one	any	other	4択	<拓殖大>
227	9	66	その新しいデザインは、古いデザインよりもさらに上品です。	The new designs are more elegant than the old ( ).	ones	it	that	ones	them	4択	<拓殖大>
228	9	66	東京の人口は大阪の人口よりも多い。	The population of Tokyo is larger than ( ) of Osaka.	that	those	which	one	that	4択	<東京経大>
230	9	66	他の国から輸入された車はその国で生産されたものよりもずっといい。	Cars imported from other countries are a lot better than ( ) made in the country.	those	all	them	those	which	4択	<立教大>
232	9	66	会議に出席していた人たちは、 その計画を支持した。	( ) present at the meeting supported the plan.	Those	They	That	Who	Those	4択	<岩手医科大>
233	9	66	アメリカ人は、質問に対して正直で誠実な答えを期待しているし、 また答えをそういうものとして受けとめるだろう。	Americans expect honest, sincere answers to their questions, and they will take answers as ( ).	such	it	so	such	well	4択	<中部大>
237	10	68	彼は自分専用のコンピュータを持っていなかったので、彼らは自分たちのコンピュータを彼に貸してあげた。	He didn't have a computer of his own, so they let him borrow ( ).	theirs	their	theirs	them	themselves	4択	<武蔵大>
238	10	68	私のこの古いカメラは、父からのプレゼントでした。	( ) was a present from my father.	This old camera of mine	My old camera of this	My old this camera	This my old camera	This old camera of mine	4択	<センター試験>
239	10	69	昨晩ケンと私は外食したかったのだが、二人とも十分なお金の持ち合わせがなかった。	Although Ken and I wanted to eat out last night, ( ) of us had enough money.	neither	either	neither	no one	no	4択	<東海大>
240	10	69	「これらの帽子のどちらかをいかがですか」「ありがとう。 でもどちらもほしくありません」	Would you like either of these hats? "No, I don't want ( ), thanks."	either	both	either	neither	none of these	4択	<湘南工科大>
241	10	69	この通りの両側にはたくさんのお店がある。	There are many shops on ( ) side of the road.	either	any	another	either	both	4択	<京都産大>
242	10	69	運がよかったことに、昨日は3人の児童のうち誰もケガをしなかった。	Fortunately, ( ) of the three school children were hurt yesterday.	none	either	neither	nobody	none	4択	<立命館大>
243	10	69	ケーキがほしかったが、まったく残っていなかった。	I wanted some cake, but there was ( ) left.	none	none	no	any	much	4択	<駒澤大>
244	10	70	これら4人の学生は、それぞれ作文を書いた。	( ) of these four students has written an essay.	Each	Both	Every	Each	Some	4択	<姫路獨協大>
245	10	70	今度の月曜日に、 彼の両親が岐阜に来ることになっている。	( ) parents will come to Gifu next Monday.	Both his	His both	Both his	His both of	Both his of	4択	<岐阜聖徳学園大>
246	10	70	これらのバスのどれにでも乗ることができます。 みんな都心に行きます。	You can catch ( ) of these buses. They all go to the city center.	any	any	every	most	some	4択	<久留米大>
247	10	70	トムとメアリーは共通の友人を通じておたがいに知り合いになった。	Tom and Mary became ( ) through mutual friends.	acquainted with each other	acquainted each other	acquainted themselves	acquainted with	acquainted with each other	4択	<日本大>
248	10	70	「もしその賞金をもらったら、 そのお金で何をする、ジュリー?」「世界中のすべての国に行ってみたいわ」	If you won the prize, what would you do with the money, Julie? "I would like to visit ( ) in the world."	every country	every country	all country	every countries	every places	4択	<大妻女子大>
250	10	70	スーザンは、月・水・金と、平日の1日おきにピアノの個人レッスンを受けています。	Susan has a private piano lesson ( ) weekday: Monday, Wednesday, Friday.	every other	every one	every other	every third	day after	4択	<名古屋女子大>
251	11	71	「キャシーと彼女のお姉さん[妹さん]はとても似てるね」「ええ、私は2人を区別できないわ」	Kathy and her sister are so alike. "Yes, I can't tell one from ( )."	the other	another	other	others	the other	4択	<センター試験>
252	11	71	この車を売って、別の車を買うつもりです。	I'm going to sell this car and get ( ) one.	another	another	new	different	other	4択	<桃山学院大>
253	11	71	私には3人の息子がいますが、1人はシカゴに住んでおり、 あとはニューヨークに住んでいます。	I have three sons; one lives in Chicago and ( ) live in New York.	the others	other	others	another	the others	4択	<姫路獨協大>
254	11	71	バレーボールが好きなクラスメートもいれば、テニスを楽しむクラスメートもいる。	Some of my classmates like volleyball and ( ) enjoy tennis.	others	another	other	others	the other	4択	<玉川大>
256	11	71	乗客が続々とやって来た。	Passengers came in one after ( ).	another	another	one	others	two	4択	<姫路獨協大>
257	11	71	もしそれを買いたいのなら、あと10ドル支払う必要があります。	If you want to get it, you'll have to pay ( ) ten dollars.	another	another	other	others	the another	4択	<国士舘大>
258	11	71	彼には人の気持ちがわからない。	He doesn't understand the feelings of ( ).	others	other	others	peoples	another	4択	<流通科学大>
259	11	72	彼は私が尋ねるほとんどの質問に答えることができるほど頭がいい。	He is smart enough to be able to answer ( ) questions I ask him.	most of the	almost	almost of	all most	most of the	4択	<東京経大>
260	11	72	今日は、ほとんどすべての座席が予約済みです。	( ) the seats are reserved today.	Almost all of	Almost all of	Almost of	Almost	The most of	4択	<同志社大>
261	11	72	ほとんどすべての日本人は、お米を食べるのが好きです。	( ) Japanese like to eat rice.	Most	Almost all	Most of	Almost	Almost of	4択	<拓殖大>
262	11	73	「図書館は、土曜日は開館していますか」「開館していると思います」	Will the library be open on Saturday? "( )"	I suppose so.	To get some books.	I love to read.	I suppose so.	Not many people.	4択	<九州国際大>
263	11	73	そうしたのはあまり賢いことではなかったね。 たぶんね。	That wasn't a very wise thing to do, was it? I ( ).	suppose not	don't suppose	don't suppose it	suppose it not	suppose not	4択	<青山学院大>
264	11	74	警察官はその犯罪について彼に尋ねたが、彼の母親は、彼はそれには何も関係していないと言った。	The policeman asked him about the crime but his mother said he had ( ) to do with it.	nothing	nobody	anything	anybody	nothing	4択	<中央大>
265	11	74	私は、その本を無料で手に入れました。	I got the book for nothing.	free of charge	free of charge	for a charge	at a charge	with a charge	4択	<関西外大>
267	11	75	パーティーはすばらしかった。 私たちは大いに楽しんだ。	The party was great. We enjoyed ( ) very much.	ourselves	us	with us	ourselves	by ourselves	4択	<九州産大>
268	11	75	テーブルの上のケーキを自由に取って食べてください。	Please help ( ) to some of the cakes on the table.	yourself	myself	itself	yourself	ourselves	4択	<札幌学院大>
269	11	75	私たちの家で1か月間、過ごすことになるのだから、くつろいでください。	You'll be staying with us for a month, so just ( ) at home.	make yourself	you're supposed	you're leaving	make yourself	get used to	4択	<福井工大>
270	11	75	兄 [弟] が研究のために外国に行って以来、私はひとりで暮らしている。	I've been living ( ) myself since my brother went abroad to do research.	by	from	at	into	by	4択	<早稲田大>
271	11	75	ここだけの話だが、 実のところ、 今夜はむしろ家にいたいのだ。	( ) ourselves, I'd actually rather stay home tonight.	Between	As	With	From	Between	4択	<明治大>
272	11	75	彼は怒りでわれを忘れた。	He was beside himself with rage.	very angry	a bit angry	a bit relieved	very relieved	very angry	4択	<立命館大>
274	12	76	先生はスペリングで間違いをおかした数人の学生に、授業の後、残るように伝えた。	The teacher told some students ( ) made mistakes in their spelling to remain after class.	who	which	who	whom	whose	4択	<京都光華女子大>
275	12	76	彼女は、よく理解することが難しい少女だ。	She is a girl ( ) it is difficult to get to know well.	whom	as	whose	what	whom	4択	<千葉工大>
276	12	76	私たちは、19世紀の産業革命に匹敵するであろう、また別の大変革に近づきつつある。	We are approaching another revolution ( ) will rival the Industrial Revolution of the 19th century.	which	which	what	who	it	4択	<中央大>
278	12	76	仕事が患者を手術することである医者は、外科医と呼ばれる。	A doctor ( ) job is operating on patients is called a surgeon.	whose	who	whose	whom	that	4択	<佛教大>
279	12	76	「そのてっぺんが天までとどく塔を建てよう」 と彼らは言った。	They said, "Let's build a tower ( ) top will reach up to heaven."	whose	which	whose	whom	that	4択	<京都学園大>
281	12	77	彼女には自慢の賢い息子がいる。	She has a clever son ( ).	(不適切) of that she is proud	of whom she is proud	she is proud of	of that she is proud	that she is proud of	4択不適	<東京国際大>
283	12	77	これらは、彼が自分自身の家を建てるのに使った道具である。	These are the tools ( ) he built his own house.	with which	which	that	with which	with that	4択	<青山学院大>
284	12	78	ここはかつてモーツァルトが夕食後に散歩をしていた公園です。	This is the park ( ) Mozart used to take a walk after dinner.	where	that	where	which	why	4択	<京都産大>
285	12	78	昨年の夏にあなたが登った山は、日本で2番目に高い山です。	The mountain ( ) you climbed last summer is the second highest mountain in Japan.	which	what	whom	which	where	4択	<亜細亜大>
286	12	78	むごい戦争が終結するときが間もなくやってくるだろう。	The time will soon come ( ) the cruel war will end.	when	when	what	why	how	4択	<名古屋学院大>
287	12	78	彼女の要求に同意すべきではない理由がいくつかある。	There are several reasons ( ) we should not agree to her request.	why	how	where	which	why	4択	<京都学園大>
292	12	79	私は、日本で2番目に大きな都市である横浜の郊外に住んでいる。	I live in the suburbs of Yokohama, ( ) is Japan's second largest city.	which	where	that	what	which	4択	<名城大>
293	12	79	その新聞社で働いた結果として、 私は未来の夫に出会ったが、彼もやはりそこで働いていたのだった。	As a result of working at the newspaper, I met my future husband, ( ) was also working there.	who	when	which	that	who	4択	<四天王寺大>
294	12	79	この前の冬、私は香港に出かけたが、そこは私が思っていたほど暖かくはなかった。	Last winter I went to Hong Kong, ( ) as warm as I had expected.	where it wasn't	when wasn't	where it wasn't	where wasn't	which it wasn't	4択	<センター試験>
295	12	79	彼女には3人の息子がいたが、全員が医者になった。	She had three sons, all ( ) became doctors.	of whom	of whom	which	who	of which	4択	<東海大>
296	12	79	彼は私に本を2冊貸してくれたが、私はそのどちらも読んでいない。	He lent me two books, neither of ( ) I have read.	which	that	which	what	them	4択	<和洋女子大>
297	12	80	交通渋滞に巻き込まれてしまい、それで私たちは会議に40分遅れてしまった。	We got stuck in a traffic jam, ( ) made us forty minutes late for the meeting.	which	which	that	it	as	4択	<東邦大>
298	12	80	私はその問題を解こうとしたが、それは時間のむだだとわかった。	I tried to solve the problem, ( ) I found a waste of time.	which	what	which	that	when	4択	<和洋女子大>
299	12	80	風呂に入るように言われ、私はその勧めに従った。	I was told to take a bath, ( ) advice I followed.	which	which	whose	its	what	4択	<実践女子大>
300	12	81	最初は易しいと思えることが、後になって難しいとわかることがしばしばある。	( ) seems easy at first often turns out to be difficult.	What	It	That	What	Which	4択	<國學院大>
301	12	81	彼は、稼いだ分を自分の息子のために使う。	He spends ( ) he earns on his son.	what	as	but	that	what	4択	<中部大>
303	12	81	メアリーは、少ないながら持っていたすべてのお金をなくした。	Mary lost ( ) little money she had.	what	which	whose	how	what	4択	<東京家政大>
304	12	82	現在のジャックがあるのは、妻の援助のおかげである。	Jack owes ( ) he is to the support of his wife.	what	as	that	what	which	4択	<京都産大>
308	12	82	あたりはだんだん暗くなり、さらに悪いことに、私たちはホテルを見つけることができなかった。	It was getting dark, and ( ) was worse, we couldn't find our hotel.	what	which	that	what	but	4択	<立命館大>
309	12	82	あなたはそれを覚えておくべきだし、さらには、それをきちんと理解すべきです。	You should remember it, and ( ), you should get it right.	what's more	nevertheless	what's more	however	on time	4択	<大妻女子大>
310	12	83	その地位は、彼女が申し分なく有能だと考えていた男性によって占められた。	The position was filled by a man ( ) she thought was thoroughly competent.	whom	of which	who	whose	whom	4択	<東北学院大>
311	12	83	あなたは、正しいと思うことをしていますか。	Are you doing what ( )?	you think is right	you think you are right	you think it is right	you think is right	it is you think right	4択	<日本工大>
315	13	84	(a) は誰にでも、弱点がある。 (b) 弱点のない人はいない。	(b) There is no one ( ) has weaknesses.	but	but	who	that	than	4択書換	<関西学院大>
317	13	85	デレクは、外国語を習得するのに理想的な環境を見つけた。	Derek found an ideal environment ( ).	in which to learn foreign languages	in which foreign languages to be learned	in which to learn foreign languages	learning foreign languages in	which to learn foreign languages in	4択	<慶應義塾大>
321	13	86	キノシタさんが親切にしているのは、彼女の友人たちだけではありません。 彼女は、助けを必要としている人は誰でも助けます。	She helps ( ) needs her help.	whoever	those	whatever	whoever	whom	4択	<センター試験>
322	13	86	どちらの政党が政権に就こうとも、イギリスの外交政策は同じままですか。	Does British foreign policy remain the same, ( ) party is in power?	whichever	whoever	however	whichever	wherever	4択	<立命館大>
323	13	87	私は君がどこに行こうともついていくつもりだ。	I will go with you ( ) you go.	wherever	whatever	wherever	whichever	whoever	4択	(記載なし)
325	13	87	どんなに忙しくても、必ず少なくとも6時間は睡眠をとりなさい。	( ) busy you are, never fail to sleep at least six hours.	However	However	Whoever	Whatever	Whenever	4択	<関東学院大>
326	13	87	どんなに難しくても、新しいコンピュータの操作に習熟しなければならない。	( ) difficult it may be, you have to master the operation of the new computer.	No matter how	No matter however	No matter how	No how	No matter	4択	<専修大>
327	14	88	ジムの日本語はあまり上手ではなかったが、それでも彼のスピーチは聴衆に感銘を与えた。	Jim's Japanese was not very good, ( ) his speech still impressed the audience.	but	because	but	so	therefore	4択	<京都産大>
328	14	88	私はフランス語を話せませんし、読むこともできません。	I can't speak French, ( ) can I read it.	nor	but	also	nor	although	4択	<千葉工大>
329	14	88	なじみのある町ではなかったが、どうにかホテルに着いた。	I was not familiar with the town, ( ) I managed to get to the hotel.	yet	already	so	then	yet	4択	<藤女子大>
331	14	88	(a)もっと一生懸命勉強すれば、あなたは試験に合格するだろう。　(b)もっと一生懸命勉強しなさい、そうすればあなたは試験に合格するだろう。	(a) If you study harder, you will pass the examination. (b) Study harder, (and) you will pass the examination.	and	and	or	but	if	4択書換	<朝日大>
333	14	89	彼は学者ではなく、作家です。	He is not a scholar ( ) a writer.	but	and	also	but	than	4択	<岐阜聖徳学園大>
334	14	89	この本は、あの本よりもためになるだけでなくおもしろい。	This book is not only more instructive ( ) more interesting than that book.	but	that	or	nor	but	4択	<関東学院大>
335	14	89	スポーツアリーナに行くにはバスか電車のどちらでも利用できますよ。	To get to the sports arena, you can take ( ) the bus or the train.	either	either	neither	both	nor	4択	<東海大>
336	14	89	父も兄もタバコを吸いません。	( ) my father nor my brother smokes.	Neither	Either	Both	Neither	Not only	4択	(記載なし)
337	14	90	腐っていることを知るために、腐った卵を全部食べる必要があるのかい?	Do you have to eat the whole of a bad egg to know ( ) it is bad?	that	when	that	what	which	4択	<芝浦工大>
338	14	90	私はかつてカリフォルニアがメキシコ領だったという事実を信じることができなかった。	I could not believe the fact ( ) California used to belong to Mexico.	that	why	how	that	which	4択	<日本女子大>
339	14	90	私たちがクリスマスに間に合うように終わらせられるかどうか、私には疑わしい。	I doubt ( ) we'll finish in time for Christmas.	if	how	if	when	why	4択	<中部大>
340	14	90	タバコをやめるべきかどうかは、あなたが下さなければならない最大の決断です。	( ) you should stop smoking is the biggest decision you have to make.	Whether	If	Unless	While	Whether	4択	<学習院女子大>
341	14	91	優雅な文体を持っているという点で、彼は優れた作家だ。	He is a good writer ( ) he has an elegant style.	in that	that	in which	if that	in that	4択	<松山大>
342	14	92	それを終えたときには、すぐに私に知らせてください。	Let me know at once ( ) you have finished it.	when	when	until	for	so that	4択	<中京大>
343	14	92	リッチがニュージーランドから戻って以来、 私は彼に会っていない。	I haven't seen Rich ( ) he returned from New Zealand.	since	as	since	when	until	4択	<東海大>
344	14	92	この前テニスをしてから、ずいぶんと久しい。	It's been ages ( ).	since I last played tennis	since I last played tennis	that I haven't played tennis	after I didn't play tennis	that I don't play tennis	4択	<名古屋工大>
345	14	92	忘れないうちに、それを書きとめておいた方がいいよ。	You had better write it down ( ) you forget it.	before	after	before	whether	while	4択	<京都学園大>
347	14	92	私がジョンに初めて会ったとき、彼はまだ大学生でした。	( ) I met John, he was still a college student.	The first time	At first	For the first time	In the first	The first time	4択	<聖学院大>
348	14	92	この激しい吹雪が収まるまで列車の運行はないでしょう。	There won't be any train service ( ) this terrible snowstorm is over.	until	by the time	while	since	until	4択	<法政大>
349	14	92	あなたが50歳になるまでには、世界は大きく変わっているでしょう。	( ) you are fifty, the world will have greatly changed.	By the time	Until	Since	By the time	While	4択	<横浜市立大>
350	14	92	彼女はいつも嫌だと言っていたが、最後の最後に、突然私たちを連れていくことに同意した。	She said no every time, ( ) at the last moment she suddenly agreed to take us.	until	until	by	during	where	4択	<亜細亜大>
352	14	93	私はその知らせを聞くとすぐに、 その家を離れた。	I left the house ( ) I heard the news.	as soon as	as soon as	during	until	while	4択	<早稲田大>
353	14	93	建物を出たとたんに一人の警察官にいくつかの職務質問をされた。	(a) I had hardly left the building when I was asked some questions by a police officer. (b) The (moment) I left the building, I was asked some questions by a police officer.	moment	instance	moment	time	sooner	4択書換	<駒澤大>
355	14	93	その言葉を口にすると、私はすぐに後悔した。	I had no sooner uttered the words ( ) I regretted them.	than	that	than	if	as	4択	<佛教大>
356	14	93	彼が部屋に入ったとたん、 彼らは笑いをやめた。	( ) he entered the room when they stopped laughing.	Hardly had	Hardly had	Had hardly	On having	Having had	4択	<松山大>
357	14	94	私たちは他の誰からも援助を期待できないのだから、 最善を尽くすように努力しよう。	Let's try to do our best, ( ) we can expect no help from anyone else.	since	since	unless	that	what	4択	<桃山学院大>
358	14	94	ほとんどあなただとはわからなかった。 というのも、ずいぶんと変わってしまっていたから。	I hardly recognized you, ( ) you've changed so much.	for	because	for	even if	although	4択	<湘南工科大>
359	14	94	人はたくさんのことを知っているからといって偉いわけではない。	A man is not great ( ) he knows many things.	because	for	as	because	since	4択	<実践女子大>
360	14	95	適切な時期に種をまかなければ、豊かな収穫は見込めない。	( ) you sow at the right time, you cannot expect a rich harvest.	Unless	Whenever	If	Unless	Wherever	4択	<西南学院大>
361	14	95	彼が間違いを認めれば、私は彼を許しましょう。	I will forgive him ( ) he acknowledges his mistakes.	provided	provided	otherwise	nevertheless	however	4択	<青山学院大>
362	14	95	6か月以内に返すという条件で、 君にお金を貸しましょう。	I'll lend you the money ( ) condition that you return it within six months.	on	with	for	in	on	4択	<玉川大>
363	14	95	彼女はまるで女王であるかのように振る舞う。	She behaves ( ) she were a queen.	as if	although	because	so that	as if	4択	<和洋女子大>
364	14	96	彼は、かなりの間日本に住んでいるけれども、 日本語をあまりうまく話せない。	( ) he has lived in Japan for some time, he cannot speak Japanese very well.	Although	Although	Even	However	Nevertheless	4択	<駿河台大>
365	14	96	明日たとえ雨が降っても、音楽祭は予定通り行われます。	( ) it rains tomorrow, the music festival will take place as planned.	Even if	Although	Even if	During	Because	4択	<甲南大>
366	14	96	暗かったけれども、私たちはなんとか帰ることができた。	Dark ( ) it was, we found our way back.	as	as	if	that	while	4択	<中部大>
367	14	96	皆さんは好むと好まざるとにかかわらず、ご両親とそこに行かなければなりません。	You must go there with your parents, ( ) you like it or not.	whether	when	though	whether	as	4択	<名城大>
368	14	97	スープはとても熱くて舌をやけどするところだった。	The soup was ( ) hot that I almost burned my tongue.	so	such	much	very	so	4択	<芝浦工大>
369	14	97	最悪の日だったので、私たちは行かないことを決めた。	It was ( ) a terrible day that we decided not to go.	such	very	so	specially	such	4択	<拓殖大>
370	14	97	教授の自尊心は非常に強かったので、彼女はその侮辱を無視することができなかった。	( ) was the professor's pride that she could not ignore the insult.	Such	So	Such	Small	Little	4択	<摂南大>
374	14	98	雨は降らないと思うけれど、降るといけないから傘を持っていきます。	I don't think it'll rain, but I'll take an umbrella ( ) it does.	in case	as if	even though	in case	now that	4択	<関東学院大>
376	14	99	いったんゲームの基本的なルールを身につけてしまえば、あなたはきっとそのゲームを大いに楽しめるでしょう。	( ) you learn the basic rules of the game, I'm sure you'll enjoy it a lot.	Once	Although	While	Once	Therefore	4択	<東京造形大>
377	14	100	私の知る限り、すべての野生動物はいつも体をきれいにしています。	As ( ) as I know, all wild animals keep themselves clean.	far	far	long	possible	well	4択	<甲南大>
378	14	100	毎日散歩に連れていくことを条件に、 私たちは娘に犬を買ってあげることを承諾した。	We agreed to buy my daughter a dog ( ) she takes it for a walk every day.	as long as	while	otherwise	unless	as long as	4択	<成蹊大>
379	15	101	レールの工事が続いている間、列車は運行を休止している。	The train is out of service ( ) the rail construction is going on.	while	with	while	after	during	4択	<玉川大>
380	15	101	インターネットは一時的な流行であると言う人たちがいる一方で、それが人類の歴史における転換点であると信じている人たちもいる。	Some people say that the Internet is a passing fashion, ( ) others believe it is a turning point in human history.	while	during	while	judging from	considering	4択	<国立看護大学校>
381	15	101	あなたの境遇は気の毒に思いますけれども、私はあなたを助けることはできません。	( ) I sympathize with you in your situation, I can't help you.	While	While	Whether	Whichever	Since	4択	<佛教大>
382	15	102	山に登っていくにつれて、空気はますます薄くなってきた。	( ) we went up the mountain, the air became thinner.	As	As	During	When	Since	4択	<成城大>
383	15	102	郷に入りては郷に従え。	Do in Rome ( ) the Romans do.	as	where	while	as	according to	4択	<中京大>
384	15	102	私の書き物テーブルには触らないで。 そのままにしておいてくれ。	Don't touch my writing-table; leave it ( ) it is.	as	when	if	that	as	4択	<中央大>
386	15	103	次回の委員会は1月7日に開催されます。	The next committee meeting will be held ( ) the 7th of January.	on	at	of	on	in	4択	<北里大>
387	15	103	7日の午前中に、彼はロンドンに向かって出発した。	He started for London ( ) the morning of the seventh.	on	in	on	to	at	4択	<桃山学院大>
388	15	103	私は、車を銀行のある角に止めた。	I parked my car ( ) the corner where the bank is.	at	upon	into	at	for	4択	<駒澤大>
389	15	103	テッド・カーソンは1944年8月7日午前10時30分にニューヨークで生まれた。	Ted Carson was born ( ) at 10:30 in the morning.	in New York on August 7, 1944	on New York by August 7, 1944	in New York in August 7, 1944	in New York on August 7, 1944	on New York at August 7, 1944	4択	<清泉女子大>
390	15	104	今から出かけて1時間ほどで戻ってきます。	I will go now and will be back ( ) about an hour.	in	with	in	by	on	4択	<九州産業大>
391	15	104	フレッドは私の10年来の友だちです。	Fred is a friend I've known ( ) ten years.	for	since	of	during	for	4択	<日本大>
393	15	104	「どのくらい待った?」「6時までだよ」	How long did you wait? "( ) six o'clock."	Until	For	On	Until	By	4択	<聖学院大>
394	15	104	授業が終わるまでに、 その作文を書き終えてください。	Please finish the essay ( ) the end of the class.	by	by	during	until	while	4択	<早稲田大>
395	15	104	今回の降雪は、ここ20年で最もすごい。	This is the heaviest snowfall ( ) twenty years.	in	after	at	in	on	4択	<和洋女子大>
396	15	105	森の上には満月が出ていた。	There was a full moon ( ) the forest.	above	into	on	above	out	4択	<立命館大>
397	15	105	彼女は、自分の部屋の壁にたくさんのポスターを貼っているところだ。	She is putting a lot of posters ( ) the walls of her room.	on	at	by	in	on	4択	<近畿大>
398	15	105	先週末、私は蔵王山にスキーに行った。	I went skiing ( ) Mt. Zao last weekend.	at	until	at	to	for	4択	<拓殖大>
399	15	106	その土地は、1エーカー単位でのみ売られるだろう。	The land will be sold only ( ).	by the acre	for an acre	to acres	in acre	by the acre	4択	<上智大>
402	15	106	口に食べ物をいっぱい入れたまま話してはいけません。	Don't talk ( ) your mouth full.	with	during	with	when	over	4択	<関東学院大>
