No	Chapter	Point	Question_JP	Question_EN	Answer	Choices1	Choices2	Choices3	Choices4	Type	Source
200	8	60	彼がたくさん本を持っているのに、私はびっくりした。 彼の書斎には少なくとも5、000冊の本があった。	There were ( ) five thousand books in his library.	not less than	not more than	not less than	no more than	at most	4択	<皇學館大>
203	8	61	もちろん彼はとてもすばらしい書き手ですが、学者と言うよりもジャーナリストです。	Of course he is quite a good writer, but he is a journalist ( ) than a scholar.	rather	better	either	further	rather	4択	<京都産大>
205	8	61	私は彼女と話をしたことさえないし、ましてやあなたの個人的な問題を彼女と議論したこともない。	I did not even speak to her, ( ) discuss your personal problems with her.	much less	much less	still more	much more	less than	4択	<昭和女子大>
208	8	62	ほとんどの子どもが勉強よりも遊びを好む。	Most children prefer playing ( ) studying.	to	than	to	for	in	4択	<札幌大>
209	9	63	3人の姉妹の中で、ジェーンが最も歌がうまかった。	Of the three sisters, Jane was ( ) singer.	the best	the better	a better	the best	a best	4択	<獨協大>
210	9	63	この映画は、 すべての中でずば抜けておもしろい。	This movie is ( ) far the most interesting of all.	by	too	by	much	very	4択	<東海大>
211	9	63	スーザンは、クラスの中でずば抜けてすぐれた学生です。	Susan is ( ) student in her class.	much the best	much best	much the best	the much best	very the best	4択	<学習院女子大>
212	9	63	これは、私がこれまで見てきた中で最も美しい景色である。	This is ( ) beautiful scene I've ever seen.	the most	much more	much less	prettier than	the most	4択	<岩手医科大>
214	9	63	ロサンゼルスは合衆国で2番目に大きな都市だ。	Los Angeles is ( ) city in the United States.	the second largest	the second largest	the largest next	the second larger	the next larger	4択	<専修大>
215	9	63	ロールス・ロイスは、世界で最も高価な車の一つです。	A Rolls-Royce is one ( ) in the world.	of the most expensive cars	of the most expensive car	of the most expensive cars	of more expensive car	of more expensive cars	4択	<拓殖大>
216	9	63	もうすぐ2時なので、私たちにはせいぜい10分しか残されていない。	It's almost two o'clock so we have only ten more minutes ( ).	at most	at first	at last	at least	at most	4択	<センター試験>
217	9	64	トムはクラスのほかのどの生徒よりも背が高い。	Tom is taller than ( ) in the class.	any other student	any other student	other any student	the other students	any other students	4択	<近畿大>
220	9	64	友情は子どもにとって最も大切である。	( ) is as important to a child as friendship.	Nothing	Anybody	Anytime	Nothing	Somebody	4択書換	<近畿大>
221	9	65	「クマを見たことがある?」「ええ、3年前に上野動物園で見たわ」	Have you ever seen a bear? "Yes, I saw ( ) in Ueno Zoo three years ago."	one	it	that	one	him	4択	<東洋大>
222	9	65	もしジェーンがそのお金を必要としているのなら、それを貸しましょう。	I will lend Jane the money if she needs ( ).	it	one	it	the one	so	4択	<関西外大>
223	9	65	「どんな腕時計を買ったらいいでしょうか」「日本製を買いなさい」	What kind of watch shall I buy? "Get ( )."	a Japanese one	one Swiss	French one	a Japanese one	American watch	4択	<東海大>
224	9	65	「この新しい辞書で単語を調べるのは大変だよ」「それなら、前に使っていたものを使ったらどう?」	It's hard to look up words in this new dictionary. "Then why don't you use ( ) you were using before?"	the one	a one	it	one another	the one	4択	<共立女子大>
225	9	65	ヨシコは白ワインより赤ワインが好きだ。	Yoshiko likes red wine better than ( ).	white	a white one	white one	white	the white one	4択	<園田学園女子大>
226	9	65	これらのシャツは高すぎます。 もっと安いものを見せてもらえますか。	These shirts are too expensive. May I see some cheaper ( )?	ones	ones	one	any	other	4択	<拓殖大>
227	9	66	その新しいデザインは、古いデザインよりもさらに上品です。	The new designs are more elegant than the old ( ).	ones	it	that	ones	them	4択	<拓殖大>
228	9	66	東京の人口は大阪の人口よりも多い。	The population of Tokyo is larger than ( ) of Osaka.	that	those	which	one	that	4択	<東京経大>
230	9	66	他の国から輸入された車はその国で生産されたものよりもずっといい。	Cars imported from other countries are a lot better than ( ) made in the country.	those	all	them	those	which	4択	<立教大>
232	9	66	会議に出席していた人たちは、 その計画を支持した。	( ) present at the meeting supported the plan.	Those	They	That	Who	Those	4択	<岩手医科大>
233	9	66	アメリカ人は、質問に対して正直で誠実な答えを期待しているし、 また答えをそういうものとして受けとめるだろう。	Americans expect honest, sincere answers to their questions, and they will take answers as ( ).	such	it	so	such	well	4択	<中部大>
237	10	68	彼は自分専用のコンピュータを持っていなかったので、彼らは自分たちのコンピュータを彼に貸してあげた。	He didn't have a computer of his own, so they let him borrow ( ).	theirs	their	theirs	them	themselves	4択	<武蔵大>
238	10	68	私のこの古いカメラは、父からのプレゼントでした。	( ) was a present from my father.	This old camera of mine	My old camera of this	My old this camera	This my old camera	This old camera of mine	4択	<センター試験>
239	10	69	昨晩ケンと私は外食したかったのだが、二人とも十分なお金の持ち合わせがなかった。	Although Ken and I wanted to eat out last night, ( ) of us had enough money.	neither	either	neither	no one	no	4択	<東海大>
240	10	69	「これらの帽子のどちらかをいかがですか」「ありがとう。 でもどちらもほしくありません」	Would you like either of these hats? "No, I don't want ( ), thanks."	either	both	either	neither	none of these	4択	<湘南工科大>
241	10	69	この通りの両側にはたくさんのお店がある。	There are many shops on ( ) side of the road.	either	any	another	either	both	4択	<京都産大>
242	10	69	運がよかったことに、昨日は3人の児童のうち誰もケガをしなかった。	Fortunately, ( ) of the three school children were hurt yesterday.	none	either	neither	nobody	none	4択	<立命館大>
243	10	69	ケーキがほしかったが、まったく残っていなかった。	I wanted some cake, but there was ( ) left.	none	none	no	any	much	4択	<駒澤大>
244	10	70	これら4人の学生は、それぞれ作文を書いた。	( ) of these four students has written an essay.	Each	Both	Every	Each	Some	4択	<姫路獨協大>
245	10	70	今度の月曜日に、 彼の両親が岐阜に来ることになっている。	( ) parents will come to Gifu next Monday.	Both his	His both	Both his	His both of	Both his of	4択	<岐阜聖徳学園大>
246	10	70	これらのバスのどれにでも乗ることができます。 みんな都心に行きます。	You can catch ( ) of these buses. They all go to the city center.	any	any	every	most	some	4択	<久留米大>
247	10	70	トムとメアリーは共通の友人を通じておたがいに知り合いになった。	Tom and Mary became ( ) through mutual friends.	acquainted with each other	acquainted each other	acquainted themselves	acquainted with	acquainted with each other	4択	<日本大>
248	10	70	「もしその賞金をもらったら、 そのお金で何をする、ジュリー?」「世界中のすべての国に行ってみたいわ」	If you won the prize, what would you do with the money, Julie? "I would like to visit ( ) in the world."	every country	every country	all country	every countries	every places	4択	<大妻女子大>
250	10	70	スーザンは、月・水・金と、平日の1日おきにピアノの個人レッスンを受けています。	Susan has a private piano lesson ( ) weekday: Monday, Wednesday, Friday.	every other	every one	every other	every third	day after	4択	<名古屋女子大>
