No	Chapter	Point	Question_JP	Question_EN	Answer	Choices1	Choices2	Choices3	Choices4	Type	Source
334	14	89	この本は、あの本よりもためになるだけでなくおもしろい。	This book is not only more instructive ( ) more interesting than that book.	but	that	or	nor	but	4択	<関東学院大>
335	14	89	スポーツアリーナに行くにはバスか電車のどちらでも利用できますよ。	To get to the sports arena, you can take ( ) the bus or the train.	either	either	neither	both	nor	4択	<東海大>
336	14	89	父も兄もタバコを吸いません。	( ) my father nor my brother smokes.	Neither	Either	Both	Neither	Not only	4択	(記載なし)
337	14	90	腐っていることを知るために、腐った卵を全部食べる必要があるのかい?	Do you have to eat the whole of a bad egg to know ( ) it is bad?	that	when	that	what	which	4択	<芝浦工大>
338	14	90	私はかつてカリフォルニアがメキシコ領だったという事実を信じることができなかった。	I could not believe the fact ( ) California used to belong to Mexico.	that	why	how	that	which	4択	<日本女子大>
339	14	90	私たちがクリスマスに間に合うように終わらせられるかどうか、私には疑わしい。	I doubt ( ) we'll finish in time for Christmas.	if	how	if	when	why	4択	<中部大>
340	14	90	タバコをやめるべきかどうかは、あなたが下さなければならない最大の決断です。	( ) you should stop smoking is the biggest decision you have to make.	Whether	If	Unless	While	Whether	4択	<学習院女子大>
341	14	91	優雅な文体を持っているという点で、彼は優れた作家だ。	He is a good writer ( ) he has an elegant style.	in that	that	in which	if that	in that	4択	<松山大>
342	14	92	それを終えたときには、すぐに私に知らせてください。	Let me know at once ( ) you have finished it.	when	when	until	for	so that	4択	<中京大>
343	14	92	リッチがニュージーランドから戻って以来、 私は彼に会っていない。	I haven't seen Rich ( ) he returned from New Zealand.	since	as	since	when	until	4択	<東海大>
344	14	92	この前テニスをしてから、ずいぶんと久しい。	It's been ages ( ).	since I last played tennis	since I last played tennis	that I haven't played tennis	after I didn't play tennis	that I don't play tennis	4択	<名古屋工大>
345	14	92	忘れないうちに、それを書きとめておいた方がいいよ。	You had better write it down ( ) you forget it.	before	after	before	whether	while	4択	<京都学園大>
347	14	92	私がジョンに初めて会ったとき、彼はまだ大学生でした。	( ) I met John, he was still a college student.	The first time	At first	For the first time	In the first	The first time	4択	<聖学院大>
348	14	92	この激しい吹雪が収まるまで列車の運行はないでしょう。	There won't be any train service ( ) this terrible snowstorm is over.	until	by the time	while	since	until	4択	<法政大>
349	14	92	あなたが50歳になるまでには、世界は大きく変わっているでしょう。	( ) you are fifty, the world will have greatly changed.	By the time	Until	Since	By the time	While	4択	<横浜市立大>
350	14	92	彼女はいつも嫌だと言っていたが、最後の最後に、突然私たちを連れていくことに同意した。	She said no every time, ( ) at the last moment she suddenly agreed to take us.	until	until	by	during	where	4択	<亜細亜大>
352	14	93	私はその知らせを聞くとすぐに、 その家を離れた。	I left the house ( ) I heard the news.	as soon as	as soon as	during	until	while	4択	<早稲田大>
353	14	93	建物を出たとたんに一人の警察官にいくつかの職務質問をされた。	(a) I had hardly left the building when I was asked some questions by a police officer. (b) The (moment) I left the building, I was asked some questions by a police officer.	moment	instance	moment	time	sooner	4択書換	<駒澤大>
355	14	93	その言葉を口にすると、私はすぐに後悔した。	I had no sooner uttered the words ( ) I regretted them.	than	that	than	if	as	4択	<佛教大>
356	14	93	彼が部屋に入ったとたん、 彼らは笑いをやめた。	( ) he entered the room when they stopped laughing.	Hardly had	Hardly had	Had hardly	On having	Having had	4択	<松山大>
357	14	94	私たちは他の誰からも援助を期待できないのだから、 最善を尽くすように努力しよう。	Let's try to do our best, ( ) we can expect no help from anyone else.	since	since	unless	that	what	4択	<桃山学院大>
358	14	94	ほとんどあなただとはわからなかった。 というのも、ずいぶんと変わってしまっていたから。	I hardly recognized you, ( ) you've changed so much.	for	because	for	even if	although	4択	<湘南工科大>
359	14	94	人はたくさんのことを知っているからといって偉いわけではない。	A man is not great ( ) he knows many things.	because	for	as	because	since	4択	<実践女子大>
360	14	95	適切な時期に種をまかなければ、豊かな収穫は見込めない。	( ) you sow at the right time, you cannot expect a rich harvest.	Unless	Whenever	If	Unless	Wherever	4択	<西南学院大>
361	14	95	彼が間違いを認めれば、私は彼を許しましょう。	I will forgive him ( ) he acknowledges his mistakes.	provided	provided	otherwise	nevertheless	however	4択	<青山学院大>
362	14	95	6か月以内に返すという条件で、 君にお金を貸しましょう。	I'll lend you the money ( ) condition that you return it within six months.	on	with	for	in	on	4択	<玉川大>
363	14	95	彼女はまるで女王であるかのように振る舞う。	She behaves ( ) she were a queen.	as if	although	because	so that	as if	4択	<和洋女子大>
364	14	96	彼は、かなりの間日本に住んでいるけれども、 日本語をあまりうまく話せない。	( ) he has lived in Japan for some time, he cannot speak Japanese very well.	Although	Although	Even	However	Nevertheless	4択	<駿河台大>
365	14	96	明日たとえ雨が降っても、音楽祭は予定通り行われます。	( ) it rains tomorrow, the music festival will take place as planned.	Even if	Although	Even if	During	Because	4択	<甲南大>
366	14	96	暗かったけれども、私たちはなんとか帰ることができた。	Dark ( ) it was, we found our way back.	as	as	if	that	while	4択	<中部大>
367	14	96	皆さんは好むと好まざるとにかかわらず、ご両親とそこに行かなければなりません。	You must go there with your parents, ( ) you like it or not.	whether	when	though	whether	as	4択	<名城大>
368	14	97	スープはとても熱くて舌をやけどするところだった。	The soup was ( ) hot that I almost burned my tongue.	so	such	much	very	so	4択	<芝浦工大>
369	14	97	最悪の日だったので、私たちは行かないことを決めた。	It was ( ) a terrible day that we decided not to go.	such	very	so	specially	such	4択	<拓殖大>
370	14	97	教授の自尊心は非常に強かったので、彼女はその侮辱を無視することができなかった。	( ) was the professor's pride that she could not ignore the insult.	Such	So	Such	Small	Little	4択	<摂南大>
374	14	98	雨は降らないと思うけれど、降るといけないから傘を持っていきます。	I don't think it'll rain, but I'll take an umbrella ( ) it does.	in case	as if	even though	in case	now that	4択	<関東学院大>
376	14	99	いったんゲームの基本的なルールを身につけてしまえば、あなたはきっとそのゲームを大いに楽しめるでしょう。	( ) you learn the basic rules of the game, I'm sure you'll enjoy it a lot.	Once	Although	While	Once	Therefore	4択	<東京造形大>
377	14	100	私の知る限り、すべての野生動物はいつも体をきれいにしています。	As ( ) as I know, all wild animals keep themselves clean.	far	far	long	possible	well	4択	<甲南大>
378	14	100	毎日散歩に連れていくことを条件に、 私たちは娘に犬を買ってあげることを承諾した。	We agreed to buy my daughter a dog ( ) she takes it for a walk every day.	as long as	while	otherwise	unless	as long as	4択	<成蹊大>
